date,link,title
24Мая12:00,https://гибдд.рф/news/window/31391,Тюменские_полицейские_поддержали_идеи_снижения_скорости_на_дорогах_для_спасения_жизней
24Мая09:00,https://гибдд.рф/news/window/31376,В_Бурятии_мероприятия_Шестой_Глобальной_недели_БДД_завершились_совместной_акцией_сотрудников_Госавтоинспекции_и_регионального_министерства_по_развитию_транспорта
24Мая08:45,https://гибдд.рф/news/window/31377,Министр_транспорта_и_дорожного_хозяйства_Новгородской_области_и_представители_заинтересованных_ведомств_выступили_за_создание_низкоскоростных_улиц
24Мая08:00,https://гибдд.рф/news/window/31373,Костромские_автоинспекторы_и_общественники_призвали_водителей_соблюдать_скоростной_режим
24Мая00:45,https://гибдд.рф/news/window/31359,Уполномоченный_по_правам_ребенка_в_Забайкальском_крае_призвал_водителей_к_снижению_скорости
23Мая08:50,https://гибдд.рф/news/window/31358,Липецкие_дошкольники_участвуют_в_Шестой_Глобальной_неделе_дорожной_безопасности
22Мая09:30,https://гибдд.рф/news/window/31361,"В_Кабардино-Балкарии_десятки_автомобилистов,_пешеходов_и_мотоциклистов_поддержали_Шестую_Глобальную_неделю_безопасности_дорожного_движения"
22Мая07:20,https://гибдд.рф/news/window/31353,В_школах_Адыгеи_прошел_челлендж_в_рамках_Шестой_Глобальной_недели_безопасности_дорожного_движения
22Мая01:35,https://гибдд.рф/news/window/31345,В_столице_Бурятии_ЮИДовцы_провели_акцию_«Снижаем_скорость_–_сохраняем_жизнь»
21Мая12:35,https://гибдд.рф/news/window/31313,Волонтеры_курганского_дома_молодежи_присоединились_к_акции_«Снижаем_скорость_–_сохраняем_жизнь!»
21Мая11:35,https://гибдд.рф/news/window/31308,В_Нальчике_заслуженные_артисты_республик_Северного_Кавказа_поддержали_призыв_#ДорогиДляЖизни
21Мая08:30,https://гибдд.рф/news/window/31305,В_Белгородской_области_эксперты_поддержали_Шестую_Глобальную_неделю_безопасности_дорожного_движения
21Мая03:50,https://гибдд.рф/news/window/31300,Священнослужители_буддийской_традиционной_сангхи_России_напомнили_водителям_о_ценности_человеческой_жизни
20Мая13:25,https://гибдд.рф/news/window/31290,Парламент_Адыгеи_поддержал_Шестую_Глобальную_неделю_безопасности_дорожного_движения
20Мая12:50,https://гибдд.рф/news/window/31292,"Директор_футбольного_клуба_«Спартак_-_Нальчик»,_тренер_и_профессиональные_футболисты_призвали_водителей_снижать_скорость_"
20Мая12:30,https://гибдд.рф/news/window/31295,В_Рязани_в_рамках_Шестой_Глобальной_недели_безопасности_дорожного_движения_состоялось_открытие_высокотехнологичного_детского_автогородка
20Мая09:17,https://гибдд.рф/news/window/31270,ЮИДовцы_Севастополя_присоединились_к_Шестой_Глобальной_неделе_безопасности_дорожного_движения_ООН
20Мая08:12,https://гибдд.рф/news/window/31265,Детский_омбудсмен_Якутии_выступила_за_снижение_скорости_ради_безопасности_детей
20Мая08:07,https://гибдд.рф/news/window/31258,Известный_футболист_футбольного_клуба_«Енисей»_присоединился_к_призыву_«Снижаем_скорость_-_сохраняем_жизнь»
20Мая07:00,https://гибдд.рф/news/window/31262,Школьники_Брянской_области_выступили_за_снижение_скорости
